dispnum,ccode1,ccode2,year,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,midongoing,midonset,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,version
51,350,710,1951,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,350,710,1952,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,350,710,1953,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,350,731,1951,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,350,731,1952,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,350,731,1953,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,530,710,1951,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,530,710,1952,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,530,710,1953,0,1,0,0,0,0,-9,-9,3,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,530,731,1951,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,530,731,1952,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,530,731,1953,0,1,0,1,0,1,-9,-9,3,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,710,1950,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,710,1951,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,710,1952,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,710,1953,0,1,0,0,0,0,-9,-9,5,6,-9,-9,20,20,5,5,0,0,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,731,1950,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,731,1951,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,731,1952,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,640,731,1953,0,1,0,1,0,1,-9,-9,5,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,710,732,1950,1,0,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,710,732,1951,1,0,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,710,732,1952,1,0,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,710,732,1953,1,0,0,1,0,1,-9,-9,6,6,-9,-9,20,20,5,5,0,1,1,0,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
51,710,800,1951,1,0,0,0,0,0,-9,-9,6,3,-9,-9,20,20,5,5,0,0,1,1,20,5,1129,1129,5,1,6,-9,6,7,gml-2.0
